"var","label","labels"
"huk","加载变量：最近一轮调查户口地址","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:没有数据, 1:有, 5:没有, 79:情况不适用"
"birthp","加载变量：出生时家庭住址","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:没有数据, 1:有, 5:没有, 79:情况不适用"
"a12p","加载变量：12岁时家庭住址","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:没有数据, 1:有, 5:没有, 79:情况不适用"
"a12hk","加载变量：12岁时家庭住址","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:没有数据, 1:有, 5:没有, 79:情况不适用"
"military","加载变量：是否是退伍军人","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:是, 5:否, 79:情况不适用"
"edu_last","加载变量：最近一次调查最高学历","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:文盲/半文盲, 1:托儿所, 2:幼儿园/学前班, 3:小学, 4:初中, 5:高中/中专/技校/职高, 6:大专, 7:大学本科, 8:硕士, 9:博士, 10:没有上过学"
"r1_last","加载变量：最近一次调查最高学历","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:文盲/半文盲, 1:托儿所, 2:幼儿园/学前班, 3:小学, 4:初中, 5:高中/中专/技校/职高, 6:大专, 7:大学本科, 8:硕士, 9:博士, 10:没有上过学"
"respscale_times","加载变量：责任感量表回答次数","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"train","加载变量：是否乘坐过火车","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"plane","加载变量：是否乘坐过飞机","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"marriage_last","加载变量：最近一次访问婚姻状态","-10:无法判断, -9:缺失, -8:没有有效数据, -2:拒绝回答, -1:不知道, 0:没有数据, 1:未婚, 2:在婚（有配偶）, 3:同居, 4:离婚, 5:丧偶"
"retire","加载变量：是否已退休","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:已退休"
"pension","加载变量：是否已经办理养老金领取手续","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"firstj_last","加载变量：是否采集第一份工作信息","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"child16n","加载变量：访问当年家庭中16岁以下子女的数量","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"mother_dead","加载变量：最近一次调查母亲已去世","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"father_dead","加载变量：最近一次调查父亲已去世","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"party","加载变量：是否是共产党员","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"hand","加载变量：2018年P103题习惯用手是否已回答","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"smokeage","加载变量：开始吸烟的年龄","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:有值"
"fml_count","加载变量：家庭成员人数","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"wordlist","加载变量：最近一次完成的记忆测试题组编号+1，若超过4则重1开始轮回。","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"seqlist","加载变量：最近一次完成的数列测试题组编号+1，若超过2则重1开始轮回。","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ses14","加载变量：是否需要补充采集14岁时父母的信息","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"birthy","出生年份","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"cyear","CYEAR","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"cmonth","CMONTH","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa001y","出生日期（年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa001m","出生日期（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa001b","年龄","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"age","年龄","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ibirthy_update","出生年份更新","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa002","受访者性别","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:女, 1:男"
"gender_update","受访者性别更新","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:女, 1:男"
"qa301","现在的户口状况","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:农业户口, 3:非农业户口, 5:没有户口, 7:居民户口, 79:不适用(非中国国籍)"
"qa3020","户口所在地变化","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qa302","现在的户口所在地","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:当前居住村/居, 2:当前居住乡/镇/街道的其他村/居, 3:当前居住县/市的其他乡/镇/街道, 4:当前居住市/区的其他县/市, 5:当前居住省份的其他市/区, 6:境内的其他省份, 7:境外（含港、澳、台）, 8:无固定工作地点"
"qa302a_code","您现在户口所在地(省)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 11:北京市, 12:天津市, 13:河北省, 14:山西省, 15:内蒙古自治区, 21:辽宁省, 22:吉林省, 23:黑龙江省, 31:上海市, 32:江苏省, 33:浙江省, 34:安徽省, 35:福建省, 36:江西省, 37:山东省, 41:河南省, 42:湖北省, 43:湖南省, 44:广东省, 45:广西壮族自治区, 46:海南省, 50:重庆市, 51:四川省, 52:贵州省, 53:云南省, 54:西藏自治区, 61:陕西省, 62:甘肃省, 63:青海省, 64:宁夏回族自治区, 65:新疆维吾尔自治区, 99:数据缺失"
"qa302c_code","您现在户口所在地（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa303y","离开户口所在地年份（年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa303m","离开户口所在地月份（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa701code","民族成分","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:汉族, 2:蒙古族, 3:回族, 4:藏族, 5:维吾尔族, 6:苗族, 7:彝族, 8:壮族, 9:布依族, 10:朝鲜族, 11:满族, 12:侗族, 13:瑶族, 14:白族, 15:土家族, 16:哈尼族, 17:哈萨克族, 18:傣族, 19:黎族, 20:傈僳族, 21:佤族, 22:畲族, 23:高山族, 24:拉祜族, 25:水族, 26:东乡族, 27:纳西族, 28:景颇族, 29:柯尔克孜族, 30:土族, 31:达斡尔族, 32:仫佬族, 33:羌族, 34:布朗族, 35:撒拉族, 36:毛南族, 37:仡佬族, 38:锡伯族, 39:阿昌族, 40:普米族, 41:塔吉克族, 42:怒族, 43:乌孜别克族, 44:俄罗斯族, 45:鄂温克族, 46:德昂族, 47:保安族, 48:裕固族, 49:京族, 50:塔塔尔族, 51:独龙族, 52:鄂伦春族, 53:赫哲族, 54:门巴族, 55:珞巴族, 56:基诺族, 79:情况不适用"
"qa401","出生时家庭地址","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:当前所在的家庭地址, 1:当前居住村/居, 2:当前居住乡/镇/街道的其他村/居, 3:当前居住县/市的其他乡/镇/街道, 4:当前居住市/区的其他县/市, 5:当前居住省份的其他市/区, 6:境内的其他省份, 7:境外（含港、澳、台）"
"qa401a_code","您出生时家庭住址（省）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 11:北京市, 12:天津市, 13:河北省, 14:山西省, 15:内蒙古自治区, 21:辽宁省, 22:吉林省, 23:黑龙江省, 31:上海市, 32:江苏省, 33:浙江省, 34:安徽省, 35:福建省, 36:江西省, 37:山东省, 41:河南省, 42:湖北省, 43:湖南省, 44:广东省, 45:广西壮族自治区, 46:海南省, 50:重庆市, 51:四川省, 52:贵州省, 53:云南省, 54:西藏自治区, 61:陕西省, 62:甘肃省, 63:青海省, 64:宁夏回族自治区, 65:新疆维吾尔自治区, 99:数据缺失"
"qa401c_code","您出生时家庭住址（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa601","12岁时居住地是否与出生地相同","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qa602","12岁时居住地","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:当前居住村/居, 2:当前居住乡/镇/街道的其他村/居, 3:当前居住县/市的其他乡/镇/街道, 4:当前居住市/区的其他县/市, 5:当前居住省份的其他市/区, 6:境内的其他省份, 7:境外（含港、澳、台）, 8:无固定工作地点"
"qa602a_code","12岁时居住地（省）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 11:北京市, 12:天津市, 13:河北省, 14:山西省, 15:内蒙古自治区, 21:辽宁省, 22:吉林省, 23:黑龙江省, 31:上海市, 32:江苏省, 33:浙江省, 34:安徽省, 35:福建省, 36:江西省, 37:山东省, 41:河南省, 42:湖北省, 43:湖南省, 44:广东省, 45:广西壮族自治区, 46:海南省, 50:重庆市, 51:四川省, 52:贵州省, 53:云南省, 54:西藏自治区, 61:陕西省, 62:甘肃省, 63:青海省, 64:宁夏回族自治区, 65:新疆维吾尔自治区, 99:数据缺失"
"qa602c_code","12岁时居住地（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa603","12岁时户口状况","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:农业户口, 3:非农业户口, 5:没有户口, 7:居民户口, 79:不适用(非中国国籍)"
"qa9","是否是退伍军人","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qa901","参军开始时间（年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qa902","参军结束时间（年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qc1","现在在上学吗","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qc2","是否处在假期","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"school","上学状态","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:没有上学, 1:学期中, 5:放假中"
"qc3","现在上哪个阶段","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:文盲/半文盲, 1:托儿所, 2:幼儿园/学前班, 3:小学, 4:初中, 5:高中/中专/技校/职高, 6:大专, 7:大学本科, 8:硕士, 9:博士, 10:没有上过学"
"qc4","是全日制还是在职学生","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:全日制, 5:在职"
"qc5","正在上几年级","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"wr0s1","就读学校名称确认",":"
"wr0s2","就读学校确认",":"
"qr0","哪年起就读（年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qr1","就近入学","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qr2","如何入读该校","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:就近入学, 2:电脑派位, 3:靠成绩优异或特长考取, 4:交赞助费或借读费, 5:托熟人、找关系, 77:其他"
"qr3","是否缴纳赞助费或借读费","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qr4","择校/赞助费（元）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qr5","为入学变更居住地","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qr6","如何变更居住地","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:在学校附近买房, 3:在学校附近租房, 5:寄宿于学校附近的亲友家, 77:其他"
"qr7","为入学变更居户口地址","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qs1002","目前就读学校所在地","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:省会城市（包括直辖市）, 2:一般城市（包括县级市、地级市）, 3:县城, 4:农村（包括乡镇）"
"qs3","现在上的是哪类小学","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:普通小学, 3:成人小学, 5:扫盲班"
"qs4_b_1","现在上哪类初中","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:普通初中, 3:成人初中, 5:职业初中"
"qs401code","初中所学专业",":"
"qs5","现上哪类高中","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:普通高中, 2:成人高中, 3:普通中专, 4:成人中专, 5:职业高中, 6:技工学校"
"qs501_b_1code","高中所学专业",":"
"qs601","是否公立学校","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qs602","是否示范/重点学校","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qs603","是哪种类型的私立学校","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:打工子弟学校, 5:国际学校, 77:其他, 79:情况不适用"
"qs604","是否在重点班","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:是重点班, 3:不是重点班, 5:就读学校没有重点班和非重点班的区分"
"qs605","班级人数（人）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs606","年级人数（人）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs7","上哪类大专","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:普通公办专科, 2:普通民办专科, 3:成人专科, 4:网络专科, 77:其他"
"qs701_b_1code","大专主修学科（编码）",":"
"qs8","现在上哪类本科","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:普通公办本科, 2:普通民办本科, 3:独立学院, 4:成人本科（指各类成人高校;普通高校办的函授、业余、脱产等）, 5:网络本科, 77:其他"
"qs801_b_1","专业人数（人）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs9code","专业学科（编码）",":"
"qs10","学校是否能够寄宿","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:能, 5:不能"
"qs1001","是否寄宿","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qs1003","寄宿时每月回家次数(次)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs11","从住处到学校有多远(公里)",":"
"qs1102","从住处到学校出行方式","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:步行, 2:搭乘或骑自行车/三轮车, 3:搭乘或骑电动自行车/电动三轮车/摩托车, 4:乘坐公交车/汽车, 5:坐地铁, 6:乘坐出租车, 7:乘坐校车, 77:其他"
"qs1103","住处到学校需几分钟(分钟)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"kr425","最近一次期中、期末考试班级排名(%)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:前10%, 2:11-25%, 3:26-50%, 4:51-75%, 5:后24%, 6:学校不公布排名, 79:情况不适用"
"kr426","最近一次期中、期末考试年级排名(%)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:前10%, 2:11-25%, 3:26-50%, 4:51-75%, 5:后24%, 6:学校不公布排名, 79:情况不适用"
"kr4301","是否曾请假","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"kr4302","是否曾旷课","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"kr431","请假旷课的主因","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:生病, 2:帮爸爸妈妈照看生意, 3:在家照看弟弟妹妹, 4:没完成作业, 5:没什么原因，就是自己不想上学, 6:贪玩, 77:其他原因"
"kr432","一共请假和旷课几次(次)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"kra605","上学期本专业排名(%)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:前10%, 2:11-25%, 3:26-50%, 4:51-75%, 5:后24%, 6:学校不公布排名, 79:情况不适用"
"qs1011","非周末学习时间(小时/天)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs1012","周末学习时间(小时/天)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs1_b_2","是否担任学生干部","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qs102b","担任的最高职务级别","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:班, 3:院/系/年级, 5:校"
"qs2","是否参加学生社团","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:是,参加社团, 5:否，没有参加社团, 79:不适用(学校没有社团组织)"
"qs201","参加了几个社团(个)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs202","是否担任社团干部","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qs3m","与同学交谈的语言","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:普通话, 2:本地话, 3:英语, 4:其他外语, 5:外地方言, 6:少数民族语言, 77:其他"
"qs4_b_2","学习好天赋占比(%)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs501_b_2","自己的学业情况","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs502","学习压力","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs503","有多优秀","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs504","适合做学生干部","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qs601n","我学习很努力","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:十分不同意, 2:不同意, 3:中立, 4:同意, 5:十分同意, 79:情况不适用"
"qs602n","会集中精力学习","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:十分不同意, 2:不同意, 3:中立, 4:同意, 5:十分同意, 79:情况不适用"
"qs603mn","会检查学校功课","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:十分不同意, 2:不同意, 3:中立, 4:同意, 5:十分同意, 79:情况不适用"
"qs604n","遵守校规校纪","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:十分不同意, 2:不同意, 3:中立, 4:同意, 5:十分同意, 79:情况不适用"
"qs605n","把物品摆放整齐","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:十分不同意, 2:不同意, 3:中立, 4:同意, 5:十分同意, 79:情况不适用"
"qs606mn","完成学校功课后才玩","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:十分不同意, 2:不同意, 3:中立, 4:同意, 5:十分同意, 79:情况不适用"
"qs701_b_2","对学校满意程度","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 79:情况不适用"
"qs702","对班主任老师满意程度","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 79:情况不适用"
"qs703","对语文老师满意程度","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 79:情况不适用"
"qs704","对数学老师满意程度","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 79:情况不适用"
"qs705","对外语老师满意程度","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 79:情况不适用"
"pt1","是否参加辅导班","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pt2","是否参加学校辅导","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pt201","每周参加学校课程辅导时间（小时）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"pt3","是否参加竞赛辅导","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pt301","每周参加竞赛辅导时间（小时）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"pt4","是否参加才艺培养","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pt401","每周参加才艺培养辅导时间（小时）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"pt5","是否参加心智开发","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pt501","每周参加心智开发辅导时间（小时）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"pt7","是否参加其他辅导班","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pt701","每周参加其他辅导时间（小时）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"pt8","是否请家教","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pd503r","过去12个月课外辅导费（元）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"pd501a","是否支付学杂费","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pd502a","是否支付伙食、住宿及校车费","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pd503a","是否支付书本及用具费","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pd504a","过去12个月是否有其他费用","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"pd501b","过去12个月学校教育支出(元/年)","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
